decision_id,option,status,token_status
United Kingdom_18,CYBER_ATTACK,DISCUSSED,KNOWN
United Kingdom_20,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_10,NOT_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_7,NOT_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_16,CYBER_ATTACK,DISCUSSED,KNOWN
United Kingdom_17,CYBER_ATTACK,DISCUSSED,KNOWN
United Kingdom_21,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_21,ORGANIZATIONAL_FAILURE,DISCUSSED,KNOWN
United Kingdom_19,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_26,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_25,TECHNICAL_FAILURE,DISCUSSED,KNOWN
United Kingdom_23,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_24,TECHNICAL_FAILURE,DISCUSSED,KNOWN
United Kingdom_24,ORGANIZATIONAL_FAILURE,DISCUSSED,KNOWN
United Kingdom_24,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_29,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_27,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_28,CYBER_ATTACK,DISCUSSED,KNOWN
United Kingdom_22,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_30,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_32,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_33,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_31,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_36,NOT_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_34,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_37,CYBER_ATTACK,DISCUSSED,KNOWN
United Kingdom_35,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_39,CYBER_ATTACK,DISCUSSED,KNOWN
United Kingdom_45,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_40,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_43,ORGANIZATIONAL_FAILURE,DISCUSSED,KNOWN
United Kingdom_43,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_44,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_41,ORGANIZATIONAL_FAILURE,DISCUSSED,KNOWN
United Kingdom_41,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_46,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_46,ORGANIZATIONAL_FAILURE,DISCUSSED,KNOWN
United Kingdom_48,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_53,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_52,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_51,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_47,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_49,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_50,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_54,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_55,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_59,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_56,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_61,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_60,CYBER_ATTACK,DISCUSSED,KNOWN
United Kingdom_57,HUMAN_ERROR,DISCUSSED,KNOWN
United Kingdom_63,NOT_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_62,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_2,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_3,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
