decision_id,option,status,token_status
United Kingdom_18,NOT_SPECIFIC,DISCUSSED,KNOWN
United Kingdom_18,NOT_INFORMED,DISCUSSED,KNOWN
United Kingdom_20,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_10,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_7,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_16,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_17,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_21,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_19,NOT_FREELY_GIVEN,DISCUSSED,KNOWN
United Kingdom_19,NOT_INFORMED,DISCUSSED,KNOWN
United Kingdom_26,NOT_FREELY_GIVEN,DISCUSSED,KNOWN
United Kingdom_26,NOT_SPECIFIC,DISCUSSED,KNOWN
United Kingdom_26,NOT_INFORMED,DISCUSSED,KNOWN
United Kingdom_25,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_23,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_24,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_29,NOT_SPECIFIC,DISCUSSED,KNOWN
United Kingdom_29,NOT_INFORMED,DISCUSSED,KNOWN
United Kingdom_27,NOT_INFORMED,DISCUSSED,KNOWN
United Kingdom_27,NOT_UNAMBIGUOUS,DISCUSSED,KNOWN
United Kingdom_28,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_22,NOT_SPECIFIC,DISCUSSED,KNOWN
United Kingdom_22,NOT_INFORMED,DISCUSSED,KNOWN
United Kingdom_30,NOT_INFORMED,DISCUSSED,KNOWN
United Kingdom_32,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_33,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_31,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_36,NOT_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_34,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_37,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_35,NOT_INFORMED,DISCUSSED,KNOWN
United Kingdom_35,NOT_UNAMBIGUOUS,DISCUSSED,KNOWN
United Kingdom_35,CONDITIONAL,DISCUSSED,KNOWN
United Kingdom_35,WITHDRAWAL_PROBLEMS,DISCUSSED,KNOWN
United Kingdom_39,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_45,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_40,NOT_SPECIFIC,DISCUSSED,KNOWN
United Kingdom_40,NOT_INFORMED,DISCUSSED,KNOWN
United Kingdom_43,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_44,NOT_SPECIFIC,DISCUSSED,KNOWN
United Kingdom_44,NOT_INFORMED,DISCUSSED,KNOWN
United Kingdom_41,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_46,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_48,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_53,NOT_UNAMBIGUOUS,DISCUSSED,KNOWN
United Kingdom_52,NOT_SPECIFIC,DISCUSSED,KNOWN
United Kingdom_52,NOT_INFORMED,DISCUSSED,KNOWN
United Kingdom_52,NOT_UNAMBIGUOUS,DISCUSSED,KNOWN
United Kingdom_51,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_47,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_49,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_50,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_54,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_55,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_59,NOT_FREELY_GIVEN,DISCUSSED,KNOWN
United Kingdom_59,NOT_SPECIFIC,DISCUSSED,KNOWN
United Kingdom_59,NOT_INFORMED,DISCUSSED,KNOWN
United Kingdom_59,CONDITIONAL,DISCUSSED,KNOWN
United Kingdom_56,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_61,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_60,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_57,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_63,NOT_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_62,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_2,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_3,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_4,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_1,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_5,DISCUSSED,DISCUSSED,STATUS_ONLY
Sweden_7,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_6,DISCUSSED,DISCUSSED,STATUS_ONLY
Sweden_9,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_10,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_11,DISCUSSED,DISCUSSED,STATUS_ONLY
Sweden_12,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_14,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_15,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_18,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_13,DISCUSSED,DISCUSSED,STATUS_ONLY
Sweden_16,NOT_FREELY_GIVEN,DISCUSSED,KNOWN
Sweden_16,NOT_INFORMED,DISCUSSED,KNOWN
Sweden_16,NOT_UNAMBIGUOUS,DISCUSSED,KNOWN
Sweden_16,WITHDRAWAL_PROBLEMS,DISCUSSED,KNOWN
Sweden_20,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_21,DISCUSSED,DISCUSSED,STATUS_ONLY
Sweden_22,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_23,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_26,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_24,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_27,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_30,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_31,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_33,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_29,DISCUSSED,DISCUSSED,STATUS_ONLY
Sweden_32,DISCUSSED,DISCUSSED,STATUS_ONLY
Sweden_36,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_34,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_35,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_37,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_38,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_40,DISCUSSED,DISCUSSED,STATUS_ONLY
Sweden_41,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_39,DISCUSSED,DISCUSSED,STATUS_ONLY
