decision_id,option,status,token_status
United Kingdom_18,MULTINATIONAL,DISCUSSED,KNOWN
United Kingdom_20,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_20,NON_PROFIT,DISCUSSED,KNOWN
United Kingdom_10,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_7,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_16,LARGE_ENTERPRISE,DISCUSSED,KNOWN
United Kingdom_16,MULTINATIONAL,DISCUSSED,KNOWN
United Kingdom_17,LARGE_ENTERPRISE,DISCUSSED,KNOWN
United Kingdom_21,NON_PROFIT,DISCUSSED,KNOWN
United Kingdom_19,LARGE_ENTERPRISE,DISCUSSED,KNOWN
United Kingdom_19,MULTINATIONAL,DISCUSSED,KNOWN
United Kingdom_26,SME,DISCUSSED,KNOWN
United Kingdom_26,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_25,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_23,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_24,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_29,SME,DISCUSSED,KNOWN
United Kingdom_29,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_27,SME,DISCUSSED,KNOWN
United Kingdom_27,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_28,SME,DISCUSSED,KNOWN
United Kingdom_28,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_22,SME,DISCUSSED,KNOWN
United Kingdom_22,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_30,SME,DISCUSSED,KNOWN
United Kingdom_30,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_32,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_33,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_31,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_36,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_34,NON_PROFIT,DISCUSSED,KNOWN
United Kingdom_37,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_35,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_39,SME,DISCUSSED,KNOWN
United Kingdom_39,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_45,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_40,SME,DISCUSSED,KNOWN
United Kingdom_40,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_43,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_44,SME,DISCUSSED,KNOWN
United Kingdom_44,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_41,NON_PROFIT,DISCUSSED,KNOWN
United Kingdom_46,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_48,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_53,LARGE_ENTERPRISE,DISCUSSED,KNOWN
United Kingdom_52,LARGE_ENTERPRISE,DISCUSSED,KNOWN
United Kingdom_51,LARGE_ENTERPRISE,DISCUSSED,KNOWN
United Kingdom_47,SME,DISCUSSED,KNOWN
United Kingdom_47,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_49,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_50,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_54,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_55,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
United Kingdom_59,SME,DISCUSSED,KNOWN
United Kingdom_59,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_56,SME,DISCUSSED,KNOWN
United Kingdom_61,NOT_MENTIONED,DISCUSSED,KNOWN
United Kingdom_60,SME,DISCUSSED,KNOWN
United Kingdom_57,NON_PROFIT,DISCUSSED,KNOWN
United Kingdom_63,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_62,LARGE_ENTERPRISE,DISCUSSED,KNOWN
Sweden_2,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
Sweden_3,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
Sweden_4,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
Sweden_1,LARGE_ENTERPRISE,DISCUSSED,KNOWN
Sweden_1,MULTINATIONAL,DISCUSSED,KNOWN
Sweden_5,LARGE_ENTERPRISE,DISCUSSED,KNOWN
Sweden_7,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
Sweden_6,SME,DISCUSSED,KNOWN
Sweden_9,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
Sweden_10,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
Sweden_11,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
Sweden_12,NOT_MENTIONED,DISCUSSED,KNOWN
Sweden_14,SME,DISCUSSED,KNOWN
Sweden_14,NOT_MENTIONED,DISCUSSED,KNOWN
Sweden_15,NOT_MENTIONED,DISCUSSED,KNOWN
Sweden_18,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
Sweden_13,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
Sweden_16,NOT_MENTIONED,DISCUSSED,KNOWN
Sweden_20,LARGE_ENTERPRISE,DISCUSSED,KNOWN
Sweden_20,MULTINATIONAL,DISCUSSED,KNOWN
Sweden_21,LARGE_ENTERPRISE,DISCUSSED,KNOWN
Sweden_21,MULTINATIONAL,DISCUSSED,KNOWN
Sweden_22,MULTINATIONAL,DISCUSSED,KNOWN
Sweden_23,PUBLIC_SECTOR_BODY,DISCUSSED,KNOWN
Sweden_26,LARGE_ENTERPRISE,DISCUSSED,KNOWN
Sweden_26,MULTINATIONAL,DISCUSSED,KNOWN
Sweden_24,LARGE_ENTERPRISE,DISCUSSED,KNOWN
