decision_id,option,status,token_status
United Kingdom_18,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_20,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN
United Kingdom_10,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_7,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_16,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_17,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_21,NOT_MENTIONED,DISCUSSED,UNKNOWN
United Kingdom_19,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_26,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_25,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_23,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN
United Kingdom_24,ACCESS,DISCUSSED,KNOWN
United Kingdom_24,RECTIFICATION,DISCUSSED,KNOWN
United Kingdom_24,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_29,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_27,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_28,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_22,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_30,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_32,ACCESS,DISCUSSED,KNOWN
United Kingdom_32,RECTIFICATION,DISCUSSED,KNOWN
United Kingdom_32,ERASURE,DISCUSSED,KNOWN
United Kingdom_32,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_33,ACCESS,DISCUSSED,KNOWN
United Kingdom_31,ACCESS,DISCUSSED,KNOWN
United Kingdom_31,RECTIFICATION,DISCUSSED,KNOWN
United Kingdom_31,ERASURE,DISCUSSED,KNOWN
United Kingdom_31,RESTRICTION_OF_PROCESSING,DISCUSSED,KNOWN
United Kingdom_31,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_36,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_34,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_37,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_35,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_39,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_45,ACCESS,DISCUSSED,KNOWN
United Kingdom_40,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_43,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_44,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_41,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_46,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_48,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN
United Kingdom_53,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_52,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_51,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_47,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_49,ACCESS,DISCUSSED,KNOWN
