decision_id,option,status,token_status
United Kingdom_18,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_18,SECURITY_IMPROVEMENTS,DISCUSSED,KNOWN
United Kingdom_18,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_18,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_20,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_20,SYSTEM_FIXES,DISCUSSED,KNOWN
United Kingdom_20,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_10,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_7,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_16,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_16,SECURITY_IMPROVEMENTS,DISCUSSED,KNOWN
United Kingdom_16,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_16,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_17,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_17,SYSTEM_FIXES,DISCUSSED,KNOWN
United Kingdom_17,SECURITY_IMPROVEMENTS,DISCUSSED,KNOWN
United Kingdom_17,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_17,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_21,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_21,SECURITY_IMPROVEMENTS,DISCUSSED,KNOWN
United Kingdom_21,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_19,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_26,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_25,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_23,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_23,SECURITY_IMPROVEMENTS,DISCUSSED,KNOWN
United Kingdom_23,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_23,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_24,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_24,SYSTEM_FIXES,DISCUSSED,KNOWN
United Kingdom_24,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_24,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_29,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_27,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_28,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_28,SYSTEM_FIXES,DISCUSSED,KNOWN
United Kingdom_28,SECURITY_IMPROVEMENTS,DISCUSSED,KNOWN
United Kingdom_28,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_28,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_22,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_30,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_32,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_32,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_32,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_33,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_31,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_36,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_34,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_34,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_34,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_37,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_37,SYSTEM_FIXES,DISCUSSED,KNOWN
United Kingdom_37,SECURITY_IMPROVEMENTS,DISCUSSED,KNOWN
United Kingdom_37,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_37,EXTERNAL_AUDIT,DISCUSSED,KNOWN
United Kingdom_37,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_35,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_39,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_39,SYSTEM_FIXES,DISCUSSED,KNOWN
United Kingdom_39,SECURITY_IMPROVEMENTS,DISCUSSED,KNOWN
United Kingdom_45,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_40,NONE_MENTIONED,MIXED_CONTRADICTORY,KNOWN
United Kingdom_40,NOT_APPLICABLE,MIXED_CONTRADICTORY,KNOWN
United Kingdom_43,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_43,SECURITY_IMPROVEMENTS,DISCUSSED,KNOWN
United Kingdom_43,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_43,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_44,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_41,IMMEDIATE_CONTAINMENT,DISCUSSED,KNOWN
United Kingdom_41,SECURITY_IMPROVEMENTS,DISCUSSED,KNOWN
United Kingdom_41,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_41,EXTERNAL_AUDIT,DISCUSSED,KNOWN
United Kingdom_41,COOPERATION_WITH_DPA,DISCUSSED,KNOWN
United Kingdom_46,SECURITY_IMPROVEMENTS,DISCUSSED,KNOWN
United Kingdom_46,STAFF_TRAINING,DISCUSSED,KNOWN
United Kingdom_48,STAFF_TRAINING,DISCUSSED,KNOWN
