decision_id,option,status,token_status
United Kingdom_18,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_20,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_10,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_7,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_16,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_17,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_21,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_19,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_26,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_25,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_23,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_24,INADEQUATE_RESPONSE,DISCUSSED,KNOWN
United Kingdom_24,SCOPE_LIMITATIONS,DISCUSSED,KNOWN
United Kingdom_29,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_27,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_28,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_22,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_30,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_32,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_33,EXCESSIVE_DELAY,DISCUSSED,KNOWN
United Kingdom_31,INADEQUATE_RESPONSE,DISCUSSED,KNOWN
United Kingdom_36,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_34,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_37,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_35,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_39,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_45,EXCESSIVE_DELAY,DISCUSSED,KNOWN
United Kingdom_40,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_43,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_44,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_41,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_46,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_48,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_53,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_52,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_51,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_47,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_49,EXCESSIVE_DELAY,DISCUSSED,KNOWN
United Kingdom_50,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_54,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_55,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_59,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_56,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_61,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_60,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_57,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_63,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_62,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_2,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_3,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_4,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_1,EXCESSIVE_DELAY,DISCUSSED,KNOWN
Sweden_1,INADEQUATE_RESPONSE,DISCUSSED,KNOWN
Sweden_5,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_7,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_6,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_9,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_10,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_11,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_12,INADEQUATE_RESPONSE,DISCUSSED,KNOWN
Sweden_12,IDENTITY_VERIFICATION_ISSUES,DISCUSSED,KNOWN
Sweden_14,INADEQUATE_RESPONSE,DISCUSSED,KNOWN
Sweden_15,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_18,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_13,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_16,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_20,INADEQUATE_RESPONSE,DISCUSSED,KNOWN
Sweden_21,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_22,EXCESSIVE_DELAY,DISCUSSED,KNOWN
Sweden_22,INADEQUATE_RESPONSE,DISCUSSED,KNOWN
Sweden_23,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_26,EXCESSIVE_DELAY,DISCUSSED,KNOWN
Sweden_24,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_27,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_30,INADEQUATE_RESPONSE,DISCUSSED,KNOWN
Sweden_31,EXCESSIVE_DELAY,DISCUSSED,KNOWN
Sweden_31,INADEQUATE_RESPONSE,DISCUSSED,KNOWN
Sweden_33,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_29,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_32,EXCESSIVE_DELAY,DISCUSSED,KNOWN
Sweden_32,INADEQUATE_RESPONSE,DISCUSSED,KNOWN
Sweden_36,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
