decision_id,option,status,token_status
United Kingdom_18,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_20,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN
United Kingdom_10,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_7,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_16,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_17,NONE_VIOLATED,NONE_VIOLATED,KNOWN
United Kingdom_21,NOT_MENTIONED,DISCUSSED,UNKNOWN
United Kingdom_19,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_26,NONE_VIOLATED,NONE_VIOLATED,KNOWN
United Kingdom_25,NOT_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_23,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN
United Kingdom_24,ACCESS,DISCUSSED,KNOWN
United Kingdom_24,RECTIFICATION,DISCUSSED,KNOWN
United Kingdom_29,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_27,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_28,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_22,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_30,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_32,NOT_DETERMINED,NOT_DETERMINED,KNOWN
United Kingdom_33,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_31,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_36,NOT_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_34,NONE_VIOLATED,NONE_VIOLATED,KNOWN
United Kingdom_37,NONE_VIOLATED,NONE_VIOLATED,KNOWN
United Kingdom_35,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_39,NONE_VIOLATED,NONE_VIOLATED,KNOWN
United Kingdom_45,ACCESS,DISCUSSED,KNOWN
United Kingdom_40,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_43,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_44,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_41,NOT_DETERMINED,NOT_DETERMINED,KNOWN
United Kingdom_46,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_48,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN
United Kingdom_53,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_52,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_51,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_47,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_49,ACCESS,DISCUSSED,KNOWN
United Kingdom_49,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_50,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_54,NOT_DETERMINED,NOT_DETERMINED,KNOWN
United Kingdom_55,NOT_MENTIONED,DISCUSSED,UNKNOWN
United Kingdom_59,INFORMATION_OBLIGATIONS,DISCUSSED,KNOWN
United Kingdom_56,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_61,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_60,NOT_MENTIONED,DISCUSSED,UNKNOWN
